Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,"41,393,176","41,149,497","41,636,855",12.8,12.7,12.9,"12,243,219","12,110,180","12,376,258",16.9,16.7,17.1,"8,636,275","8,533,254","8,739,296",16.1,15.9,16.3,"69,717","69,583","69,851","3,349,149","3,299,669","3,398,629",18.3,18.0,18.6
01,AL,Alabama,"800,848","782,169","819,527",16.3,15.9,16.7,"250,327","241,921","258,733",22.7,21.9,23.5,"176,596","169,423","183,769",21.6,20.7,22.5,"53,990","53,218","54,762","71,220","66,888","75,552",25.1,23.6,26.6
02,AK,Alaska,"77,736","74,178","81,294",10.8,10.3,11.3,"23,760","22,273","25,247",13.5,12.7,14.3,"16,316","15,103","17,529",12.7,11.8,13.6,"78,437","76,456","80,418","6,633","5,796","7,470",14.1,12.3,15.9
04,AZ,Arizona,"919,680","900,349","939,011",12.9,12.6,13.2,"281,696","271,479","291,913",17.8,17.2,18.4,"197,841","189,061","206,621",16.7,16.0,17.4,"68,967","68,287","69,647","76,649","71,494","81,804",19.7,18.4,21.0
05,AR,Arkansas,"471,195","458,260","484,130",16.0,15.6,16.4,"150,353","144,623","156,083",21.8,21.0,22.6,"102,718","97,845","107,591",20.1,19.1,21.1,"52,577","51,595","53,559","45,096","42,186","48,006",25.5,23.9,27.1
06,CA,California,"4,742,405","4,689,999","4,794,811",12.3,12.2,12.4,"1,362,903","1,333,900","1,391,906",15.8,15.5,16.1,"993,484","967,041","1,019,927",15.4,15.0,15.8,"84,831","84,292","85,370","339,169","326,796","351,542",15.8,15.2,16.4
08,CO,Colorado,"554,126","540,035","568,217",9.7,9.5,9.9,"144,163","137,066","151,260",11.8,11.2,12.4,"99,663","93,685","105,641",10.9,10.2,11.6,"82,228","81,447","83,009","39,308","35,584","43,032",12.8,11.6,14.0
09,CT,Connecticut,"355,861","344,138","367,584",10.1,9.8,10.4,"93,263","88,443","98,083",12.9,12.2,13.6,"66,642","62,624","70,660",12.2,11.5,12.9,"83,628","82,542","84,714","24,150","21,569","26,731",13.9,12.4,15.4
10,DE,Delaware,"113,026","107,766","118,286",11.5,11.0,12.0,"33,302","31,518","35,086",16.2,15.3,17.1,"23,013","21,575","24,451",15.0,14.1,15.9,"71,636","69,940","73,332","9,694","8,679","10,709",18.6,16.6,20.6
11,DC,District of Columbia,"107,307","101,426","113,188",16.8,15.9,17.7,"31,194","27,542","34,846",25.5,22.5,28.5,"21,233","17,836","24,630",25.5,21.4,29.6,"91,072","88,170","93,974","9,444","8,334","10,554",24.3,21.4,27.2
12,FL,Florida,"2,830,813","2,790,138","2,871,488",13.2,13.0,13.4,"774,679","749,604","799,754",18.4,17.8,19.0,"545,090","523,085","567,095",17.5,16.8,18.2,"63,054","62,631","63,477","212,346","200,017","224,675",19.8,18.7,20.9
13,GA,Georgia,"1,493,837","1,463,589","1,524,085",14.2,13.9,14.5,"508,616","493,608","523,624",20.5,19.9,21.1,"364,720","352,070","377,370",19.6,18.9,20.3,"66,507","65,802","67,212","135,538","128,008","143,068",22.0,20.8,23.2
15,HI,Hawaii,"152,656","146,272","159,040",10.9,10.4,11.4,"38,291","35,619","40,963",12.9,12.0,13.8,"26,809","24,634","28,984",12.4,11.4,13.4,"85,547","83,548","87,546","10,150","8,658","11,642",12.9,11.0,14.8
16,ID,Idaho,"202,091","193,474","210,708",10.8,10.3,11.3,"57,576","53,835","61,317",12.5,11.7,13.3,"38,421","35,303","41,539",11.1,10.2,12.0,"66,318","64,668","67,968","17,074","15,118","19,030",15.4,13.6,17.2
17,IL,Illinois,"1,493,042","1,465,135","1,520,949",12.1,11.9,12.3,"438,031","424,826","451,236",15.9,15.4,16.4,"310,010","298,048","321,972",15.0,14.4,15.6,"72,215","71,645","72,785","120,015","114,563","125,467",17.5,16.7,18.3
18,IN,Indiana,"799,733","782,428","817,038",12.1,11.8,12.4,"244,081","234,385","253,777",15.7,15.1,16.3,"168,041","159,930","176,152",14.6,13.9,15.3,"62,723","62,015","63,431","69,805","64,751","74,859",17.7,16.4,19.0
19,IA,Iowa,"340,626","329,373","351,879",11.0,10.6,11.4,"89,506","85,073","93,939",12.4,11.8,13.0,"61,916","58,061","65,771",11.6,10.9,12.3,"65,645","64,876","66,414","24,541","22,373","26,709",13.3,12.1,14.5
20,KS,Kansas,"332,457","322,234","342,680",11.6,11.2,12.0,"93,202","88,459","97,945",13.5,12.8,14.2,"62,373","58,323","66,423",12.2,11.4,13.0,"64,128","63,194","65,062","27,811","25,370","30,252",16.0,14.6,17.4
21,KY,Kentucky,"712,023","697,813","726,233",16.3,16.0,16.6,"211,069","203,982","218,156",21.2,20.5,21.9,"145,518","139,566","151,470",19.9,19.1,20.7,"55,532","54,838","56,226","60,772","57,134","64,410",23.6,22.2,25.0
22,LA,Louisiana,"878,477","859,106","897,848",19.5,19.1,19.9,"286,908","278,007","295,809",26.9,26.1,27.7,"203,782","196,026","211,538",25.9,24.9,26.9,"52,090","51,348","52,832","80,375","76,164","84,586",28.8,27.3,30.3
23,ME,Maine,"149,571","143,213","155,929",11.2,10.7,11.7,"33,923","31,818","36,028",13.8,12.9,14.7,"23,766","21,989","25,543",12.9,11.9,13.9,"64,823","63,604","66,042","8,895","7,789","10,001",14.7,12.9,16.5
24,MD,Maryland,"620,829","603,853","637,805",10.3,10.0,10.6,"187,563","179,061","196,065",14.0,13.4,14.6,"131,287","124,037","138,537",13.3,12.6,14.0,"90,129","89,087","91,171","51,970","47,916","56,024",15.0,13.8,16.2
25,MA,Massachusetts,"701,700","685,529","717,871",10.4,10.2,10.6,"171,062","162,605","179,519",12.8,12.2,13.4,"122,258","114,819","129,697",12.3,11.6,13.0,"89,577","88,330","90,824","44,332","40,364","48,300",13.1,11.9,14.3
26,MI,Michigan,"1,283,086","1,261,685","1,304,487",13.0,12.8,13.2,"372,695","361,340","384,050",17.6,17.1,18.1,"260,084","250,288","269,880",16.5,15.9,17.1,"63,444","62,920","63,968","104,555","98,778","110,332",19.5,18.4,20.6
27,MN,Minnesota,"519,437","507,482","531,392",9.3,9.1,9.5,"138,759","131,831","145,687",10.8,10.3,11.3,"96,265","90,339","102,191",10.1,9.5,10.7,"77,712","76,812","78,612","36,651","33,066","40,236",11.1,10.0,12.2
28,MS,Mississippi,"549,710","536,691","562,729",19.2,18.7,19.7,"184,262","178,205","190,319",27.1,26.2,28.0,"130,611","125,549","135,673",25.7,24.7,26.7,"48,871","47,663","50,079","51,862","48,648","55,076",30.3,28.4,32.2
29,MO,Missouri,"765,097","748,927","781,267",12.8,12.5,13.1,"222,992","214,949","231,035",16.5,15.9,17.1,"154,066","147,333","160,799",15.4,14.7,16.1,"61,815","61,152","62,478","63,067","58,984","67,150",18.1,16.9,19.3
30,MT,Montana,"129,910","124,852","134,968",12.0,11.5,12.5,"34,221","32,296","36,146",14.9,14.1,15.7,"23,405","21,810","25,000",13.6,12.7,14.5,"63,357","61,990","64,724","9,726","8,698","10,754",17.2,15.4,19.0
31,NE,Nebraska,"201,627","194,607","208,647",10.5,10.1,10.9,"57,279","53,701","60,857",12.1,11.3,12.9,"38,634","35,703","41,565",11.1,10.3,11.9,"66,949","65,911","67,987","16,432","14,419","18,445",13.4,11.8,15.0
32,NV,Nevada,"433,095","420,882","445,308",14.0,13.6,14.4,"128,585","123,239","133,931",18.8,18.0,19.6,"89,119","84,790","93,448",17.5,16.6,18.4,"66,194","65,202","67,186","36,365","33,278","39,452",21.0,19.2,22.8
33,NH,New Hampshire,"99,562","94,623","104,501",7.4,7.0,7.8,"23,403","21,423","25,383",9.3,8.5,10.1,"16,720","15,015","18,425",8.8,7.9,9.7,"88,268","86,293","90,243","5,622","4,665","6,579",9.4,7.8,11.0
34,NJ,New Jersey,"925,852","905,573","946,131",10.2,10.0,10.4,"277,609","266,393","288,825",13.9,13.3,14.5,"195,085","185,456","204,714",13.2,12.5,13.9,"89,227","88,164","90,290","76,282","70,767","81,797",15.0,13.9,16.1
35,NM,New Mexico,"367,050","354,401","379,699",17.7,17.1,18.3,"107,621","103,016","112,226",23.1,22.1,24.1,"78,030","74,285","81,775",22.1,21.0,23.2,"54,304","52,878","55,730","28,231","25,602","30,860",25.1,22.8,27.4
36,NY,New York,"2,703,053","2,668,539","2,737,567",14.0,13.8,14.2,"758,752","738,369","779,135",18.8,18.3,19.3,"538,385","520,939","555,831",18.2,17.6,18.8,"74,230","73,620","74,840","207,920","197,263","218,577",19.5,18.5,20.5
37,NC,North Carolina,"1,383,626","1,357,735","1,409,517",13.5,13.2,13.8,"412,500","399,456","425,544",18.2,17.6,18.8,"288,493","277,568","299,418",17.2,16.6,17.8,"61,997","61,459","62,535","116,355","109,438","123,272",20.2,19.0,21.4
38,ND,North Dakota,"82,270","78,002","86,538",10.9,10.3,11.5,"21,011","19,433","22,589",11.5,10.6,12.4,"13,843","12,593","15,093",10.5,9.6,11.4,"67,603","65,854","69,352","6,455","5,510","7,400",12.9,11.0,14.8
39,OH,Ohio,"1,523,366","1,498,525","1,548,207",13.3,13.1,13.5,"464,430","451,117","477,743",18.2,17.7,18.7,"319,011","307,948","330,074",16.9,16.3,17.5,"62,286","61,832","62,740","135,658","129,038","142,278",20.7,19.7,21.7
40,OK,Oklahoma,"599,003","587,366","610,640",15.4,15.1,15.7,"193,524","187,346","199,702",20.5,19.8,21.2,"133,145","127,959","138,331",19.0,18.3,19.7,"55,829","55,210","56,448","56,598","53,190","60,006",23.6,22.2,25.0
41,OR,Oregon,"507,504","493,784","521,224",12.2,11.9,12.5,"115,775","109,621","121,929",13.8,13.1,14.5,"81,501","76,169","86,833",12.9,12.1,13.7,"71,441","70,406","72,476","29,637","26,737","32,537",14.6,13.2,16.0
42,PA,Pennsylvania,"1,503,929","1,480,307","1,527,551",12.0,11.8,12.2,"429,209","414,287","444,131",16.3,15.7,16.9,"303,178","289,981","316,375",15.5,14.8,16.2,"68,931","68,429","69,433","116,290","109,264","123,316",17.5,16.4,18.6
44,RI,Rhode Island,"126,971","121,343","132,599",12.1,11.6,12.6,"34,400","32,496","36,304",17.0,16.1,17.9,"24,199","22,676","25,722",16.0,15.0,17.0,"73,324","71,173","75,475","9,556","8,437","10,675",18.6,16.4,20.8
45,SC,South Carolina,"736,098","719,691","752,505",14.5,14.2,14.8,"216,791","208,749","224,833",19.7,19.0,20.4,"154,506","147,582","161,430",18.8,18.0,19.6,"59,447","58,606","60,288","59,011","55,007","63,015",21.5,20.0,23.0
46,SD,South Dakota,"103,337","99,076","107,598",11.9,11.4,12.4,"30,921","29,027","32,815",14.4,13.5,15.3,"20,663","19,144","22,182",13.1,12.1,14.1,"66,843","64,779","68,907","9,423","8,334","10,512",16.5,14.6,18.4
47,TN,Tennessee,"934,856","915,693","954,019",13.7,13.4,14.0,"277,454","268,009","286,899",18.4,17.8,19.0,"196,884","188,889","204,879",17.7,17.0,18.4,"59,698","58,920","60,476","75,501","70,440","80,562",19.3,18.0,20.6
48,TX,Texas,"4,122,799","4,067,445","4,178,153",14.2,14.0,14.4,"1,438,533","1,403,971","1,473,095",19.5,19.0,20.0,"1,023,611","992,613","1,054,609",18.6,18.0,19.2,"66,959","66,448","67,470","393,888","378,420","409,356",21.2,20.4,22.0
49,UT,Utah,"286,086","273,709","298,463",8.7,8.3,9.1,"79,258","73,557","84,959",8.5,7.9,9.1,"52,922","47,900","57,944",7.6,6.9,8.3,"79,449","78,242","80,656","22,873","20,451","25,295",9.8,8.8,10.8
50,VT,Vermont,"63,208","59,860","66,556",10.2,9.7,10.7,"12,908","11,928","13,888",11.2,10.3,12.1,"9,163","8,336","9,990",10.5,9.6,11.4,"72,415","70,396","74,434","3,196","2,682","3,710",11.6,9.7,13.5
51,VA,Virginia,"862,792","843,622","881,962",10.3,10.1,10.5,"247,264","237,600","256,928",13.3,12.8,13.8,"172,697","164,587","180,807",12.6,12.0,13.2,"80,926","80,203","81,649","69,303","64,164","74,442",14.4,13.3,15.5
53,WA,Washington,"755,589","738,622","772,556",9.9,9.7,10.1,"197,271","188,204","206,338",12.0,11.4,12.6,"136,772","128,977","144,567",11.2,10.6,11.8,"84,155","83,322","84,988","53,637","48,940","58,334",12.7,11.6,13.8
54,WV,West Virginia,"291,051","282,054","300,048",16.8,16.3,17.3,"74,847","71,804","77,890",21.4,20.5,22.3,"52,556","50,045","55,067",20.0,19.0,21.0,"51,122","50,059","52,185","21,090","19,436","22,744",24.7,22.8,26.6
55,WI,Wisconsin,"622,948","610,655","635,241",10.8,10.6,11.0,"169,816","163,145","176,487",13.6,13.1,14.1,"120,713","114,750","126,676",12.9,12.3,13.5,"67,150","66,549","67,751","44,523","41,734","47,312",14.3,13.4,15.2
56,WY,Wyoming,"60,226","56,527","63,925",10.6,9.9,11.3,"15,661","14,411","16,911",12.1,11.1,13.1,"10,517","9,480","11,554",10.7,9.6,11.8,"66,508","64,077","68,939","4,455","3,781","5,129",14.2,12.0,16.4
